,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
415,221,Bull,1.3201151,1.3191249,1.320035,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
417,221,Bull,1.3201151,1.3191249,1.320035,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
418,221,Bull,1.3201151,1.3191249,1.320035,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
419,221,Bull,1.3201151,1.3191249,1.320035,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
459,221,Bull,1.3201151,1.3191249,1.320035,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
460,221,Bull,1.3201151,1.3191249,1.320035,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
462,221,Bull,1.3201151,1.3191249,1.320035,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
463,221,Bull,1.3201151,1.3191249,1.320035,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
464,221,Bull,1.3201151,1.3191249,1.320035,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
470,221,Bull,1.3201151,1.3191249,1.320035,326,Bear,1.32445,1.321445,1.323935,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
471,221,Bull,1.3201151,1.3191249,1.320035,326,Bear,1.32445,1.321445,1.323935,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
473,221,Bull,1.3201151,1.3191249,1.320035,326,Bear,1.32445,1.321445,1.323935,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
474,221,Bull,1.3201151,1.3191249,1.320035,326,Bear,1.32445,1.321445,1.323935,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
475,221,Bull,1.3201151,1.3191249,1.320035,326,Bear,1.32445,1.321445,1.323935,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
481,221,Bull,1.3201151,1.3191249,1.320035,347,Bear,1.326195,1.324645,1.3247099,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
482,221,Bull,1.3201151,1.3191249,1.320035,347,Bear,1.326195,1.324645,1.3247099,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
484,221,Bull,1.3201151,1.3191249,1.320035,347,Bear,1.326195,1.324645,1.3247099,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
485,221,Bull,1.3201151,1.3191249,1.320035,347,Bear,1.326195,1.324645,1.3247099,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
486,221,Bull,1.3201151,1.3191249,1.320035,347,Bear,1.326195,1.324645,1.3247099,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
492,221,Bull,1.3201151,1.3191249,1.320035,362,Bear,1.32752,1.3259399,1.32721,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
