,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
781,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2176,Bear,1.3648,1.3621349,1.36398,2240,Bull,1.36012,1.358365,1.35924,2245,Bear,1.365865,1.3619001,1.3640499,True
1044,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2137,Bear,1.357715,1.3557999,1.3557999,2144,Bull,1.3564451,1.35319,1.356255,2263,Bear,1.3673899,1.3650899,1.366485,True
1083,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2176,Bear,1.3648,1.3621349,1.36398,2195,Bull,1.3573949,1.3544049,1.357305,2263,Bear,1.3673899,1.3650899,1.366485,True
1087,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2176,Bear,1.3648,1.3621349,1.36398,2217,Bull,1.35927,1.357065,1.358765,2263,Bear,1.3673899,1.3650899,1.366485,True
1089,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2176,Bear,1.3648,1.3621349,1.36398,2240,Bull,1.36012,1.358365,1.35924,2263,Bear,1.3673899,1.3650899,1.366485,True
1273,2282,Bull,1.3591149,1.3580899,1.35902,2287,Bear,1.361225,1.359945,1.3607199,2289,Bull,1.36039,1.3568699,1.360075,2339,Bear,1.373445,1.3708501,1.3710401,2349,Bull,1.36771,1.366765,1.367265,2364,Bear,1.3758099,1.3742249,1.3751049,True
1797,2282,Bull,1.3591149,1.3580899,1.35902,2287,Bear,1.361225,1.359945,1.3607199,2289,Bull,1.36039,1.3568699,1.360075,2339,Bear,1.373445,1.3708501,1.3710401,2349,Bull,1.36771,1.366765,1.367265,2367,Bear,1.3773351,1.3743601,1.37693,True
793,2195,Bull,1.3573949,1.3544049,1.357305,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2412,Bear,1.3833799,1.381855,1.3824849,True
1299,2217,Bull,1.35927,1.357065,1.358765,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2412,Bear,1.3833799,1.381855,1.3824849,True
1483,2240,Bull,1.36012,1.358365,1.35924,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2412,Bear,1.3833799,1.381855,1.3824849,True
1559,2282,Bull,1.3591149,1.3580899,1.35902,2287,Bear,1.361225,1.359945,1.3607199,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2412,Bear,1.3833799,1.381855,1.3824849,True
793,2217,Bull,1.35927,1.357065,1.358765,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2443,Bear,1.38346,1.382465,1.3832049,True
795,2217,Bull,1.35927,1.357065,1.358765,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2412,Bear,1.3833799,1.381855,1.3824849,2436,Bull,1.376575,1.3742399,1.374295,2443,Bear,1.38346,1.382465,1.3832049,True
1156,2240,Bull,1.36012,1.358365,1.35924,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2443,Bear,1.38346,1.382465,1.3832049,True
1158,2240,Bull,1.36012,1.358365,1.35924,2263,Bear,1.3673899,1.3650899,1.366485,2289,Bull,1.36039,1.3568699,1.360075,2412,Bear,1.3833799,1.381855,1.3824849,2436,Bull,1.376575,1.3742399,1.374295,2443,Bear,1.38346,1.382465,1.3832049,True
1353,2282,Bull,1.3591149,1.3580899,1.35902,2287,Bear,1.361225,1.359945,1.3607199,2289,Bull,1.36039,1.3568699,1.360075,2367,Bear,1.3773351,1.3743601,1.37693,2392,Bull,1.37274,1.3709099,1.3727,2443,Bear,1.38346,1.382465,1.3832049,True
1355,2282,Bull,1.3591149,1.3580899,1.35902,2287,Bear,1.361225,1.359945,1.3607199,2289,Bull,1.36039,1.3568699,1.360075,2412,Bear,1.3833799,1.381855,1.3824849,2436,Bull,1.376575,1.3742399,1.374295,2443,Bear,1.38346,1.382465,1.3832049,True
1428,2289,Bull,1.36039,1.3568699,1.360075,2339,Bear,1.373445,1.3708501,1.3710401,2349,Bull,1.36771,1.366765,1.367265,2412,Bear,1.3833799,1.381855,1.3824849,2436,Bull,1.376575,1.3742399,1.374295,2443,Bear,1.38346,1.382465,1.3832049,True
1054,2412,Bear,1.3833799,1.381855,1.3824849,2436,Bull,1.376575,1.3742399,1.374295,2443,Bear,1.38346,1.382465,1.3832049,2627,Bull,1.3663449,1.3642,1.3654151,2630,Bear,1.3693299,1.367305,1.3674049,2652,Bull,1.36486,1.362575,1.364835,True
