sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1473,969,Bull,1.3797,1.3767,1.3779,992,Bear,1.3895,1.387,1.3873,1003,Bull,1.391,1.3844,1.3905,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,TRUE
1187,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,1059,Bull,1.3898,1.3886,1.3897,1065,Bear,1.3933,1.3909,1.3921,1069,Bull,1.3904,1.3884,1.389,TRUE
1719,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,1059,Bull,1.3898,1.3886,1.3897,1065,Bear,1.3933,1.3909,1.3921,1073,Bull,1.3898,1.3876,1.3896,TRUE
149,1023,Bear,1.3982,1.3964,1.3977,1038,Bull,1.3949,1.3935,1.3939,1042,Bear,1.3983,1.3967,1.3974,1203,Bull,1.3844,1.3836,1.3843,1209,Bear,1.3872,1.3852,1.3864,1217,Bull,1.3841,1.3828,1.3833,TRUE
1181,1042,Bear,1.3983,1.3967,1.3974,1073,Bull,1.3898,1.3876,1.3896,1118,Bear,1.3958,1.3934,1.3949,1203,Bull,1.3844,1.3836,1.3843,1209,Bear,1.3872,1.3852,1.3864,1217,Bull,1.3841,1.3828,1.3833,TRUE
637,1042,Bear,1.3983,1.3967,1.3974,1073,Bull,1.3898,1.3876,1.3896,1118,Bear,1.3958,1.3934,1.3949,1203,Bull,1.3844,1.3836,1.3843,1209,Bear,1.3872,1.3852,1.3864,1235,Bull,1.382,1.3803,1.3817,TRUE
828,1118,Bear,1.3958,1.3934,1.3949,1235,Bull,1.382,1.3803,1.3817,1242,Bear,1.3888,1.3875,1.3877,1337,Bull,1.3746,1.3726,1.3727,1363,Bear,1.3786,1.3749,1.3762,1406,Bull,1.3636,1.3602,1.363,TRUE
1859,1406,Bull,1.3636,1.3602,1.363,1489,Bear,1.3768,1.3759,1.3761,1513,Bull,1.37,1.368,1.3682,1633,Bear,1.3845,1.3835,1.3844,1643,Bull,1.3839,1.3818,1.3819,1651,Bear,1.3892,1.3879,1.3879,TRUE
1865,1406,Bull,1.3636,1.3602,1.363,1575,Bear,1.3808,1.3761,1.3761,1587,Bull,1.3742,1.3731,1.3736,1633,Bear,1.3845,1.3835,1.3844,1643,Bull,1.3839,1.3818,1.3819,1651,Bear,1.3892,1.3879,1.3879,TRUE
1971,1513,Bull,1.37,1.368,1.3682,1575,Bear,1.3808,1.3761,1.3761,1587,Bull,1.3742,1.3731,1.3736,1633,Bear,1.3845,1.3835,1.3844,1643,Bull,1.3839,1.3818,1.3819,1651,Bear,1.3892,1.3879,1.3879,TRUE
